image_path,true_emotion,predicted_emotion,correct
./dataset_fer/test/images/surprise_fer_test_3939.jpg,surprise,surprise,1
./dataset_fer/test/images/fear_fer_test_718.jpg,fear,sadness,0
./dataset_fer/test/images/joy_fer_test_6842.jpg,joy,joy,1
./dataset_fer/test/images/anger_fer_test_4907.jpg,anger,anger,1
./dataset_fer/test/images/surprise_fer_test_3554.jpg,surprise,fear,0
./dataset_fer/test/images/fear_fer_test_117.jpg,fear,sadness,0
./dataset_fer/test/images/anger_fer_test_5286.jpg,anger,anger,1
./dataset_fer/test/images/sadness_fer_test_1275.jpg,sadness,neutral,0
./dataset_fer/test/images/anger_fer_test_4550.jpg,anger,anger,1
./dataset_fer/test/images/fear_fer_test_572.jpg,fear,sadness,0
./dataset_fer/test/images/fear_fer_test_693.jpg,fear,anger,0
./dataset_fer/test/images/neutral_fer_test_2770.jpg,neutral,neutral,1
./dataset_fer/test/images/anger_fer_test_4696.jpg,anger,anger,1
./dataset_fer/test/images/surprise_fer_test_3623.jpg,surprise,surprise,1
./dataset_fer/test/images/surprise_fer_test_3665.jpg,surprise,surprise,1
./dataset_fer/test/images/surprise_fer_test_4261.jpg,surprise,surprise,1
./dataset_fer/test/images/anger_fer_test_4932.jpg,anger,anger,1
./dataset_fer/test/images/surprise_fer_test_3600.jpg,surprise,surprise,1
./dataset_fer/test/images/fear_fer_test_389.jpg,fear,anger,0
./dataset_fer/test/images/sadness_fer_test_2028.jpg,sadness,sadness,1
./dataset_fer/test/images/neutral_fer_test_2635.jpg,neutral,sadness,0
./dataset_fer/test/images/neutral_fer_test_2780.jpg,neutral,neutral,1
./dataset_fer/test/images/fear_fer_test_116.jpg,fear,anger,0
./dataset_fer/test/images/neutral_fer_test_3081.jpg,neutral,neutral,1
./dataset_fer/test/images/fear_fer_test_26.jpg,fear,neutral,0
./dataset_fer/test/images/surprise_fer_test_4157.jpg,surprise,surprise,1
./dataset_fer/test/images/fear_fer_test_676.jpg,fear,anger,0
./dataset_fer/test/images/sadness_fer_test_1752.jpg,sadness,neutral,0
./dataset_fer/test/images/joy_fer_test_6459.jpg,joy,joy,1
./dataset_fer/test/images/joy_fer_test_5775.jpg,joy,joy,1
./dataset_fer/test/images/joy_fer_test_5824.jpg,joy,joy,1
./dataset_fer/test/images/fear_fer_test_953.jpg,fear,anger,0
./dataset_fer/test/images/anger_fer_test_4670.jpg,anger,anger,1
./dataset_fer/test/images/joy_fer_test_5903.jpg,joy,joy,1
./dataset_fer/test/images/surprise_fer_test_4201.jpg,surprise,surprise,1
./dataset_fer/test/images/anger_fer_test_4789.jpg,anger,anger,1
./dataset_fer/test/images/neutral_fer_test_2486.jpg,neutral,neutral,1
./dataset_fer/test/images/joy_fer_test_5473.jpg,joy,joy,1
./dataset_fer/test/images/joy_fer_test_6333.jpg,joy,joy,1
./dataset_fer/test/images/neutral_fer_test_3097.jpg,neutral,neutral,1
./dataset_fer/test/images/neutral_fer_test_2863.jpg,neutral,neutral,1
./dataset_fer/test/images/surprise_fer_test_4206.jpg,surprise,fear,0
./dataset_fer/test/images/anger_fer_test_4419.jpg,anger,anger,1
./dataset_fer/test/images/joy_fer_test_5743.jpg,joy,joy,1
./dataset_fer/test/images/surprise_fer_test_3866.jpg,surprise,anger,0
./dataset_fer/test/images/joy_fer_test_6956.jpg,joy,joy,1
./dataset_fer/test/images/joy_fer_test_5598.jpg,joy,joy,1
./dataset_fer/test/images/anger_fer_test_4471.jpg,anger,anger,1
./dataset_fer/test/images/neutral_fer_test_3004.jpg,neutral,sadness,0
./dataset_fer/test/images/sadness_fer_test_1552.jpg,sadness,neutral,0
./dataset_fer/test/images/joy_fer_test_6238.jpg,joy,joy,1
./dataset_fer/test/images/sadness_fer_test_1088.jpg,sadness,sadness,1
./dataset_fer/test/images/joy_fer_test_5759.jpg,joy,joy,1
./dataset_fer/test/images/joy_fer_test_6715.jpg,joy,joy,1
./dataset_fer/test/images/fear_fer_test_283.jpg,fear,anger,0
./dataset_fer/test/images/sadness_fer_test_2239.jpg,sadness,sadness,1
./dataset_fer/test/images/surprise_fer_test_3758.jpg,surprise,surprise,1
./dataset_fer/test/images/surprise_fer_test_3850.jpg,surprise,surprise,1
./dataset_fer/test/images/neutral_fer_test_2977.jpg,neutral,neutral,1
